Ilmu_Info_Puisi	Pekanbaru Riau
madrid_indoBALI	BALI 
Ndoro_Moe	PALOPO - I N D O N E S I A
JBlues_Sulsel	Sulawesi Selatan
Mank_QyO	Br. Bengkel, Denpasar
SelaluBerita	
GoaICom	Indonesia
priyo333	Bolaang Mongondow Raya (BMR)
infotegal123	
Agung08_	Indonesia
dj_medi1	PelorManagement
dj_medi1	PelorManagement
gelvin_pelor	reverbnation.com/pelorband
Gabrelaaaa_	
gelvin_pelor	reverbnation.com/pelorband
XiaomiLombok	Mataram - Lombok - Indonesia
pelorbandID	Reverb ChartID.1631850-
pelorbandID	Reverb ChartID.1631850-
AnggunAmelia9	
AnggunAmelia9	
F_R20	Coba tanya google maps  
iluhputuyeni	
ansyori_kakam	Kaliawi waykanan lampung
ansyori_kakam	Kaliawi waykanan lampung
rinduphobia	di hatimu
anggunanakgaul	pelorband.blogspot.com
anggunanakgaul	pelorband.blogspot.com
jailani_sg	way kanan lampung
jailani_sg	way kanan lampung
medi_official	mediputra.blogspot.com
medi_official	mediputra.blogspot.com
bimaayudo	
Bean_Linting	DKI Jakarta
tesgem01	
GEMAWAHYUH	Pagaden, Subang
Jarronok	
Dadap48	sosok
alyaarmeilin	
nge_onge	BSD
della_angr3	
fariz_elza10	
ita_sari33	
ardhan_ray	
yasminfaradill2	
pickosaid	Gorontalo City
sayurpesanantar	Lebak-Bulus, Jakarta Selatan
ii_halimah	West Java
tyodrago3	Global
dot_cocom1	Jawa Barat
tyodrago3	Global
Maaarul__	bantul,yogyakarta,indonesia
tyodrago3	Global
chaechaputri	
tyodrago3	Global
tyodrago3	Global
tyodrago3	Global
DAcademycom	Indonesia
J0430yes	Hottest
iluhputuyeni	
itsmeRahmat	
CakraKhanz12	Everybody Heart 
aassrroommaa	
fkryk	Indonesia★
MToniNugraha	Palembang , indonesia
Kompascoom	Indonesia 
BEMFISIPUNUD	Kampus Sudirman, Denpasar BALI
Abdun_muchlis12	Banjarmasin
Moh_Asrori	Kudus, Jawa Tengah, Indonesia
amrila146	padang
Syaiful_001	Yogyakarta, Indonesia
_desiiA	jimbaran-karangasem-bali
gourg_valentin	Bordeaux - France
HendraKick	Dongano, Bali
tereetheresia	Jakarta, Indonesia
diki_dani	Jakarta, Indonesia
sma1cerenti	Meja Paling Depan
Bukanjurnalis	Plered, Purwakarta
Madridista_PKU	Indonesia
iluhputuyeni	
Teringatcom	Jakarta
Riaadt	Lubuk pakam
Wayan_adi_bali	Denpasar, Bali
iluhputuyeni	
miradian2	Nusa Dua, Bali
rapturecamps	
NKrasnodebska	NYC
RWiditaa3424	~INA~
_siscamariani79	Yang selalu ad dihatimu..
sullichoi94x	Smofc #brosis
SalmaFathin27	
komkomx	Paradise Island - Bali 
Arie_Dote	Jakarta
ichsan_kaira	Bojonggede
U4U_Voice	Jammu&Kashmir
ChuiyiC	Malaysia
imnicuk	Pekalongan, Indonesia
tazkia_store	Indonesia 
JustTriAstuti	Bojonegoro-Denpasar
LiiDongHai	Denpasar, Bali
k_dan_bali	
