Name 	 Location 
detikcom	Jakarta, Indonesia
kompascom	Indonesia
detikcom	Jakarta, Indonesia
nawang_putri27	Fatmawati,jakarta selatan
fedtriyahya	TV3
ariska_can	Indonesia
marisa_febrina	Depok city
PIMsmanita	Jl Sawunggaling 2 Taman, SDA
Kamelianty1	thevirgin
fedtriyahya	TV3
viannae984	
BaliDahsyat	Bali
DaerahDenpasar	Denpasar
syeelaa16	
hisdan_	Yogyakarta
Mifta_Sulung	Sumatera Selatan~»Palembang
Dwi_NovNov	@Bryan_Zidane
gilangragiel11	OFFICIAL ACCOUNT
FlavaSyafa	Klampis 
yuli_sari24	banjarbaru
mathiasa276	
aristaw_AF5	
Ira_rahma28	Bojonegoro
EbedRio	Kombos,Manado
jalay96	Jakarta
Info_Singaraja	Singaraja,Bali
nurislamiyaa	South Jakarta
gurithasitako	BALI!
GitaLaras2	Indonesia
yuniprasetya_	Jakarta
ndryandryyy	Madrid
Risma_fidella	indonesia(surabaya♥) 
mongee2	pule city
PanjiShahab	Hati Member JKT48
sellynrh	
agsyahfadh	England
windaniasusanti	bekasi utara
Fatwa_hyuk	Korea selatan (seoul)
MikaylaAlmadevi	indonesia
natasya_unik	I want go to PARIS
febryan_riski	Bintaro sek5
Rbals_	
bastiar_direja	Bandung , Indonesia
RisaRismawati_	☀★Tebet Timur★☀
DanarAugustino	Purwokerto-Wonosobo-Purworejo
ElizabetKaryn	Prabumulih
ryan_faisaldo	
ErnaPradita	Daerah khusus ibukota jakarta
Nungkiretno	
athalla00	
erikcatos	
fira_audinah02	Jakarta,Indonesia
renatartnng	Here.
DandiRBT	indonesiaaaaa
diicky_dicky	Indonesia
Faiza_camila	Jakarta
uwiiesichlolala	Jakarta barat
ita_rospace	Kota Serang
MAnngelina	Banjarmasin Indonesia
ardhivatmawan13	yogyakarta
leeun28	
Lalapolapa_09	
harikami	
AppaSoh	Jakarta poesat
TikaKurnia32	Tangerang
Litha_27	
ayucongok	Surabaya ♥
rifki_n15	YOGYAKARTA
LiemCNKS	Jakarta, Indonesia
am_satrio	Yogyakarta, INA.
chika_andiani	Tangerang 
nabilarizqiM	
Rendrafratama1	
basrita1	Buduk, Badung. Bali. Indonesia
gopasagl64__	Little tokyo
ratihps17	Indonesia
gopasagl64__	Little tokyo
Auliawahdah_	
gejefreak	
gopasagl64__	Little tokyo
gopasagl64__	Little tokyo
Faqih08Farid	Kuningan City | West Java
gopasagl64__	Little tokyo
DillaRachman	Dunia
RaitoKazuto	Mau tau aja apa mau tau banget
jannahaufa_4281	
ranymkrji_	Taken with @k3ripik
Dias_kebot	Tigaraksa-Tangerang 
Kepoih30	Jogjakarta
wulanDdary_z96	Mamuju||sulBar|||Stikes Fatima
Pytogcxs	+62
BayuFrediansyah	Bandung
ZRDheaa	East'Borneo
MFajarNug15	Ciledug - Tangerang
saki_kinah1	menuju kebahagiaan {}
pritandi	Bandung — Bali
nicholas_sindhu	Jakarta-Ambarawa, Pulau Jawa
Fi3adm	Mojokerto-Jawa Timur-Indonesia
SalmaLadina	Ciledug
willpalenteng	Indonesia
detikcom	Jakarta, Indonesia
kompascom	Indonesia
detikcom	Jakarta, Indonesia
ayukecil72	CikunirFams▲▼
Melia_26	Korea S
vanyaaa__ratu	
_Fzar	Sumedang , indonesia
Suara_Bali	Bali
nawang_putri27	Fatmawati,jakarta selatan
fedtriyahya	TV3
ariska_can	Indonesia
marisa_febrina	Depok city
